"Access denied.","Akses ditolak."
"Can not find webservice adapter.","Tidak dapat menemukan webservice adapter."
"Client Session Timeout (sec.)","Sisa waktu Pertemuan Klien (sec.)"
"Default Response Charset","Tanggapan Standar Charset"
"Email","Email"
"Enable WSDL Cache","WSDL Cache Diaktifkan"
"General Settings","Pengaturan Umum"
"Invalid webservice adapter specified.","Webservice adapter yang ditentukan tidak valid."
"Invalid webservice handler specified.","Webservice handler yang ditentukan tidak valid."
"Magento Core API","Magento Core API"
"Magento Core API Section","Bagian Magento Core API"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Pengguna"
"Unable to login.","Tidak dapat masuk."
"User Name","nama Pengguna"
"WS-I Compliance","WS-I Penyesuaian"
"Web Services","Web Services"
"Your account has been deactivated.","Akun anda telah di non aktifkan."
