"%s","%s"
"%s role is a special one and can\'t be changed.","%s merupakan spesial role dan tidak bisa diganti."
"%s role is a special one and can\'t be deleted.","%s merupakan spesial role dan tidak bisa dihapus."
"%s role is protected.","%s role dilindungi."
"ACL Attribute Rules","Peraturan Atribut ACL"
"ACL Attributes Information","Informasi Atribut ACL"
"Add","Tambahkan"
"Add Admin Role","Tambahkan Role Admin"
"Add New Role","Tambahkan Role Baru"
"Address Type","Tipe Alamat"
"Admin","Admin"
"Allow","Izinkan"
"An error occurred while deleting the role.","Terjadi kesalahan saat menghapus role ini."
"An error occurred while saving attribute rules.","Terjadi kesalahan saat menyimpan peraturan atribut."
"An error occurred while saving role.","Terjadi kesalahan saat menyimpan role."
"Api Rules Information","Informasi Peraturan Api"
"Assigned","Penugasan"
"Associate to Website","Berhubungan ke Website"
"Attribute Rules Information","Aturan Informasi Atribut"
"Attribute Set","Set Atribut"
"Attributes","Atribut"
"Automatically Return Credit Memo Item to Stock","Kembalikan Otomatis item Credit Memo Ke Stok"
"Back","Kembali"
"Backorders","Backorders"
"Base Currency","Mata Uang Pokok"
"Base Customer Balance","Saldo Pokok Pelanggan"
"Base Discount","Diskon Pokok"
"Base Discount Amount","Jumlah Diskon Pokok"
"Base Item Subtotal","Subtotal Pokok Item"
"Base Item Subtotal Including Tax","Item Pokok Subtotal Termasuk Pajak"
"Base Original Price","Harga Pokok Awal"
"Base Price","Harga Pokok"
"Base Price Including Tax","Harga Pokok Termasuk Pajak"
"Base Shipping","Pokok Pengiriman"
"Base Shipping Discount","Pokok Diskon Pengiriman"
"Base Shipping Tax","Pokok Pajak Pengiriman"
"Base Subtotal","Subtotal Pokok"
"Base Subtotal Including Tax","Subtotal Pokok Termasuk Pajak"
"Base Tax Amount","Jumlah Pokok Pajak"
"Base Total Due","Total Pokok Jatuh Tempo"
"Base Total Paid","Total Pokok Dibayarkan"
"Base Total Refunded","Total Pokok Kembalian"
"Buy Now URL","URL Beli Sekarang"
"Can Be Divided into Multiple Boxes for Shipping","Bisa Dipisah menjadi Banyak Kotak untuk Pengiriman"
"Canceled Qty","Qty Dibatalkan"
"Catalog","Katalog"
"Catalog Product","Produk Katalog"
"CatalogInventory","Persediaan Katalog"
"Category ID","ID Kategori"
"City","Kota"
"Company","Perusahaan"
"Country","Negara"
"Coupon Code","Kode Kupon"
"Create","Membuat"
"Create Permanent Redirect for old URL","Buat Pengalihan Permanen untuk URL lama"
"Created From","Dibuat Dari"
"Customer","Pelanggan"
"Customer Address","Alamat pelanggan"
"Customer Address ID","Alamat ID Pelanggan"
"Customer Balance","Saldo Pengunjung"
"Customer First Name","Nama Depan Pelanggan"
"Customer ID","ID Pelanggan"
"Customer Last Name","Nama Akhir Pelanggan"
"Customer Middle Name","Nama Tengah Pelanggan"
"Customer Prefix","Awalan Pelanggan"
"Customer Suffix","Akhiran Pelanggan"
"Default Image","Gambar Awal"
"Delete","Menghapus"
"Deny","Menolak"
"Disable automatic group change based on VAT ID","Nonaktifkan perubahan grup secara otomatis berdasar pada ID VAT"
"Discount","Diskon"
"Discount Amount","Jumlah Diskon"
"Discount Description","Deskripsi Diskon"
"Edit","Edit"
"Edit %s ACL attribute rules","Edit %s ACL aturan atribut"
"Edit Role","Edit Role"
"Edit attribute rules for %s Role","Edit aturan atribut untuk %s Role"
"Email","Email"
"Enable Qty Increments","Aktifkan Tambahan Qty"
"Exclude","Pengecualian"
"File Content","Isi File"
"File MIME Type","Tipe File MIME"
"File Name","Nama File"
"Final Price With Tax","Harga Akhir Dengan Pajak"
"Final Price Without Tax","Harga Akhir Tanpa Pajak"
"First Name","Nama Awal"
"Gift Message","Pesan Hadiah"
"Grand Total","Total Keseluruhan"
"Grand Total to Be Charged","Dikenakan Total Keseluruhan"
"Group","Grup"
"Guest","Pengunjung"
"Has Custom Options","Memiliki opsi Custom"
"ID","ID"
"Inventory Data","Persediaan Data"
"Invoiced Qty","Tagihan Qty"
"Is Confirmed","Telah Dikonfirmasi"
"Is Default Billing Address","Adalah Standar Alamat Penagihan"
"Is Default Shipping Address","Adalah Standar Alamat Pengiriman"
"Item ID","Item ID"
"Item Subtotal","Item Subtotal"
"Item Subtotal Including Tax","Item Subtotal Termasuk Pajak"
"Label","Label"
"Last Logged In","Terakhir Log In"
"Last Name","Nama Akhir"
"Low Stock Date","Tanggal Stok Rendah"
"Manage Stock","Kelola Stok"
"Maximum Qty Allowed in Shopping Cart","Maximal Qty yang Diizinkan pada Kantung Belanja"
"Minimum Qty Allowed in Shopping Cart","Minimal Qty yang Diizinkan pada Kantung Belanja"
"New Role","Role Baru"
"Notify for Quantity Below","Pemberitahuan untuk Kuantitas Di bawah"
"OAuth","OAuth"
"Order","Pesanan"
"Order Addresses","Alamat-alamat Pesanan"
"Order Comments","Komentar Pesanan"
"Order Currency","Mata Uang Pesanan"
"Order Date","Tanggal Pesanan"
"Order ID","ID Pesanan"
"Order ID (internal)","ID Pesanan (internal)"
"Order Item ID","ID Item Pesanan"
"Order Items","Item Pesanan"
"Order Status","Status Pemesanan"
"Ordered Qty","Qty Pemesanan"
"Orders","Pesanan"
"Original Price","Harga Awal"
"Parent Order Item ID","Pesanan Parent Item ID"
"Payment Method","Metode Pembayaran"
"Phone Number","Nomer Telepon"
"Placed from IP","Ditempatkan dari IP"
"Please enter a valid number in ""max_sale_qty"" field","Mohon masukan nomer yang benar di ""max_sale_qty"" field"
"Please enter a valid number in ""min_qty"" field","Mohon masukan nomer yang benar di ""min_qty"" field"
"Please enter a valid number in ""min_sale_qty"" field","Mohon masukan nomer yang benar di ""min_sale_qty"" field"
"Please enter a valid number in ""notify_stock_qty"" field","Mohon masukan nomer yang benar di ""notify_stock_qty"" field"
"Please use numbers only in ""category_id"" field.","Mohon hanya menggunakan angka di ""category_id"" field."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Mohon hanya menggunakan angka di ""qty_increments"" field. Mohon hindari penggunaan spasi atau karakter lain seperti titik atau koma."
"Position","Posisi"
"Price","Harga"
"Price Including Tax","Harga Termasuk pajak"
"Product","Produk"
"Product Category","Kategori Produk"
"Product ID","ID Produk"
"Product Image","Gambar Produk"
"Product Type","Tipe Produk"
"Product URL","URL Produk"
"Product Website","Produk Website"
"Product and Custom Options Name","Produk dan Opsi Nama Custom"
"Qty","Qty"
"Qty Increments","Tambahan Qty"
"Qty Uses Decimals","Qty Menggunakan Desimal"
"Qty for Item's Status to Become Out of Stock","Qty untuk Status Item Menjadi Persediaan Habis"
"REST - Attributes","REST - Atribut"
"REST - Roles","REST - Roles"
"REST ACL Attributes","REST ACL Atribut"
"REST Attributes","REST Atribut"
"REST Role","REST Role"
"REST Roles","REST Roles"
"REST Roles Information","Informasi REST Roles"
"Read","Baca"
"Refunded Qty","Qty Pengembalian"
"Regular Price With Tax","Harga Biasa Dengan Pajak"
"Regular Price Without Tax","Harga Biasa Tanpa Pajak"
"Rest Roles","Rest Roles"
"Retrieve","Mendapatkan Kembali"
"Role ""%s"" no longer exists","Role ""%s"" tidak lagi ada"
"Role ""%s"" not found.","Role ""%s"" tidak ditemukan."
"Role API Resources","Sumber daya Role API"
"Role Info","Info Role"
"Role Information","Informasi Role"
"Role Name","Nama Role"
"Role Users","Role Pengguna"
"Role has been deleted.","Role telah terhapus."
"Roles","Roles"
"SKU","SKU"
"Salability Status","Status Salability"
"Sales","Penjualan"
"Save","Menyimpan"
"Shipped Qty","Qty Pengiriman"
"Shipping Amount","Jumlah Pengiriman"
"Shipping Discount","Diskon Pengiriman"
"Shipping Including Tax","Pengiriman Termasuk Pajak"
"Shipping Method","Metode Pengiriman"
"Shipping Tax","Pajak Pengiriman"
"State","Negara"
"Stock Availability","Ketersediaan Stok"
"Stock ID","Stok ID"
"Stock Item","Stok Item"
"Stock Status","Status Stok"
"Store Currency to Order Currency Rate","Mata Uang Toko untuk Nilai Tukar mata Uang Pesanan"
"Store Name","Nama Toko"
"Street","Jalan"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal Termasuk Pajak"
"System","Sistem"
"Tax Amount","Jumlah Pajak"
"Tax Name","Nama Pajak"
"Tax Percent","Persentase Pajak"
"Tax Rate","Nilai Pajak"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Field ""enable_qty_increments"" harus di set ke 0 atau 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Field ""is_decimal_divided"" harus di set ke 0 atau 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Field ""is_in_stock"" harus di set ke 0 atau 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Field ""is_qty_decimal"" harus di set ke 0 atau 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Field ""is_qty_decimal"" harus di set ke 0, 1, atau 2."
"The ""manage_stock"" field must be set to 0 or 1.","Field ""manage_stock"" harus di set ke 0 atau 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Field ""stock_status_changed_auto"" harus di set ke 0 atau 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Field ""use_config_backorders"" harus di set ke 0 atau 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Field ""use_config_enable_qty_inc"" harus di set ke 0 atau 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Field ""use_config_manage_stock"" harus di set ke 0 atau 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Field ""use_config_max_sale_qty""harus di set ke 0 atau 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Field ""use_config_min_qty"" harus di set ke 0 atau 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Field ""use_config_min_sale_qty"" harus di set ke 0 atau 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Field ""use_config_notify_stock_qty"" harus di set ke 0 atau 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Field ""use_config_qty_increments"" harus di set ke 0 atau 1."
