"%d Review(s)","%d (Beberapa)Ulasan"
"%s Review(s)","%s (Beberapa)Ulasan"
"(Posted on %s)","(Dipost pada %s)"
"1 star","1 bintang"
"2 stars","2 bintang"
"3 stars","3 bintang"
"4 stars","4 bintang"
"5 stars","5 bintang"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Tambahkan Ulasan Baru"
"Add Your Review","Tambahkan Ulasan Anda"
"Administrator","Administrator"
"All Reviews","Seluruh Ulasan"
"All Reviews of Customer `%s`","Semua Ulasan Pelanggan `%s`"
"All Reviews of Product `%s`","Semua Ulasan Produk `%s`"
"Allow Guests to Write Reviews","Izinkan Pengunjung Menulis Ulasan"
"Approved","Disetujui"
"Are you sure you want to do this?","Anda yakin ingin melakukan ini??"
"Are you sure?","Anda yakin?"
"Average Customer Rating","Rata-rata Penilaian Pelanggan"
"Average Customer Rating:","Rata-rata Penilaian Pelanggan:"
"Back","Kembali"
"Back to Main Product Info","Kembali ke Info Produk Utama"
"Back to My Reviews","Kembali ke Ulasan Saya"
"Back to Product Reviews","Kembali ke Review Produk"
"Be the first to review this product","Jadilah yang pertama mengulas produk ini"
"Catalog Product Review View","Katalog Lihat Ulasan Produk"
"Catalog Product Reviews List","Katalog Daftar Ulasan Produk "
"Created On","Dibuat Pada"
"Customer","Pelanggan"
"Customer My Account Product Reviews","Ulasan Produk My Account Pelanggan"
"Customer My Account Review Details","Detail Ulasan My Account Pelanggan"
"Customer Reviews","Ulasan Pelanggan"
"Customers Reviews","Ulasan Pelanggan"
"Delete","Hapus"
"Delete Review","Hapus Ulasan"
"Detailed Rating","Penilaian Terperinci"
"Edit Review '%s'","Edit Ulasan '%s'"
"Guest","Pengunjung"
"How do you rate this product?","Bagaimana Anda menilai produk ini?"
"ID","ID"
"Manage Ratings","Kelola Penilaian"
"My Product Reviews","Ulasan Produk Saya"
"My Recent Reviews","Ulasan Terakhir saya"
"Name","Nama"
"Name in Store","Nama di Toko"
"New Review","Ulasan Baru"
"Nickname","Nickname"
"Nickname can\'t be empty","Nickname tidak boleh kosong"
"Not Approved","Tidak Disetujui"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Hanya pengguna terdaftar yang bisa menulis review. Harap, <a href=""%s"">masuk</a> atau <a href=""%s"">mendaftar</a>"
"Pending","Tertunda"
"Pending Reviews","Ulasan Tertunda"
"Pending Reviews of Customer `%s`","Ulasan Pelanggan Tertunda `%s`"
"Please select a product","Harap Pilih Produk"
"Please select one of each of the ratings above","Silakan pilih salah satu dari masing-masing penilaian di atas"
"Posted By","Dipost Oleh"
"Price","Harga"
"Product","Produk"
"Product Name","Nama Produk"
"Product Rating","Penilaian Produk"
"Product Rating:","Penilaian Produk:"
"Product Review (submitted on %s):","Ulasan Produk (diserahkan pada %s):"
"Product Reviews","Ulasan Produk"
"Product SKU","SKU Produk"
"Products Reviews","Ulasan Produk"
"Qty","Qty"
"Rating:","Penilaian:"
"Review","Ulasan"
"Review (submitted on %s):","Ulasan (diserahkan pada %s):"
"Review Details","Detail Ulasan"
"Review Form Fields Before","Ulasan Form Field Sebelumnya"
"Review by <span>%s</span>","Ulasan oleh <span>%s</span>"
"Review can\'t be empty","Ulasan tidak boleh kosong"
"Review summary can\'t be empty","Rangkuman ulasan tidak boleh kosong"
"Reviews and Ratings","Ulasan dan Penilaian"
"SKU","SKU"
"Save Review","Simpan Ulasan"
"Status","Status"
"Submit Review","Serahkan Ulasan"
"Summary Rating","Rangkuman Penilaian"
"Summary of Review","Rangkuman dari Ulasan"
"Summary of Your Review","Rangkuman dari Ulasan Anda"
"Title","Judul"
"Type","Tipe"
"Unable to post the review.","Tidak dapat mempost ulasan."
"Update Status","Perbarui Status"
"View All Reviews","Tinjau Semua Ulasan"
"View Details","Tinjau Detail"
"Visible In","Terlihat Di"
"Websites","Websites"
"Write Your Own Review","Tulis Ulasan Anda Sendiri"
"You have submitted no reviews.","Anda tidak menyerahkan ulasan satupun."
"You're reviewing:","Anda sedang mengulas:"
"Your Rating:","PPenilaian Anda:"
"Your Review (submitted on %s):","Ulasan Anda (diserahkan pada %s):"
"Your review has been accepted for moderation.","Ulasan Anda telah diterima untuk moderasi."
