"%s - Discounts and Coupons","%s - Diskon dan Kupon"
"%s - Special Products","%s - Produk Spesial"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s telah mencapai jumlah %s."
"%s\'s Wishlist","%s\'s Daftar keinginan"
"Cannot retrieve the wishlist","Tidak dapat mengambil Daftar keinginan"
"Catalog","Katalog"
"Category Feeds","Feeds Kategori"
"Click for price","Klik untuk Harga"
"Comment: %s<br/>","Komentar: %s<br/>"
"Coupons/Discounts","kupon/Diskon"
"Current Status: %s<br/>","Status Saat ini: %s<br/>"
"Customer Name: %s","Nama Pelanggan: %s"
"Customer Order Status Notification","Pemberitahuan Status Pemesanan Pelanggan"
"Details for %s #%s","Detail untuk %s #%s"
"Discount","Diskon"
"Discount (%s)","Diskon (%s)"
"Enable RSS","Nyalakan RSS"
"Error in processing xml. %s","Kesalahan memproses xml. %s"
"From:","Dari:"
"Get Feed","Dapatkan Feed"
"Gift Message","Pesan Hadiah"
"Grand Total","Total Seluruh"
"Low Stock Products","Stok Produk Rendah"
"Message:","Pesan:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","Pesanan Baru"
"New Products","Produk Baru"
"New Products from %s","Produk Baru dari %s"
"Notified Date: %s<br/>","Tanggal Pemberitahuan: %s<br/>"
"Order # %s Notification(s)","Pesanan # %s Notification(s)"
"Order #%s created at %s","Pesanan #%s dibuat pada %s"
"Pending product review(s)","Tunda (beberapa)ulasan produk"
"Product: ""%s"" review By: %s","Produk: ""%s"" diulas Oleh: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produk: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produk ditag dengan %s"
"Purchased From: %s","Dibeli Dari: %s"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","Daftar RSS Feeds"
"RSS Feeds Section","Bagian RSS Feeds"
"Review: %s <br/>","Ulasan: %s <br/>"
"Rss Config","Konfigurasi Rss"
"Shipping &amp; Handling","Pengiriman &amp; Handling"
"Special Products","Produk Spesial"
"Store: %s <br/>","Toko: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Rangkuman ulasan: %s <br/>"
"Tags Products","Tag Produk"
"Tax","Pajak"
"There are no Rss Feeds","Tidak ada Rss Feeds"
"To:","Ke:"
"Top Level Category","Kategori Top Level"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Daftar keinginan"
"click <a href=""%s"">here</a> to view the review","Klik <a href=""%s"">disini</a> untuk tinjau ulasan"
