" for more information or "," Untuk informasi lebih lanjut atau "
"# of Items (and above)","# dari Item (dan di atas)"
"# of Items vs. Destination","# dari Item vs. Tujuan"
"Allow Shipping to Multiple Addresses","Izinkan Pengiriman ke Beberapa Alamat"
"An error occurred while import table rates.","Terjadi kesalahan saat impor nilai tabel."
"Calculate Handling Fee","Hitung Biaya Penanganan"
"Carrier:","Kurrier:"
"City","Kota"
"Close Window","Tutup Jendela"
"Condition","Kondisi"
"Country","Negara"
"Date","Tanggal"
"Delivered on:","Dikirim pada:"
"Delivered to:","Dikirim untuk:"
"Description","Deskripsi"
"Displayed Error Message","Pesan Kesalahan Ditampilkan"
"Divide to equal weight (one request)","Bagi ke bobot yang sama (satu permintaan)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplikat Baris #%s (Negara ""%s"", Wilayah/Negara ""%s"", Kode pos ""%s"" dan Nilai ""%s"")."
"Enabled","Dinyalakan"
"Error:","Kesalahan:"
"Export","Export"
"File has not been imported. See the following list of errors: %s","File belum diimport. Lihat daftar kesalahan berikut: %s"
"Fixed","Tetap"
"Flat Rate","Tarif Flat"
"Free Shipping","Bebas Biaya Kirim"
"Google Sitemap Section","Bagian Google Sitemap"
"Handling Fee","Biaya Penanganan"
"Import","Import"
"Include Virtual Products in Price Calculation","Sertakan Produk Virtual dalam Perhitungan Harga"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","Tidak valid %s ""%s"" di baris #%s."
"Invalid Country ""%s"" in the Row #%s.","Negara tidak valid ""%s"" di baris #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Wilayah/Negara tidak valid ""%s"" di baris #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Harga pengiriman tidak valid ""%s"" di baris #%s."
"Invalid Table Rate code for type %s: %s","Kode Nilai Tabel tidak valid untuk tipe %s: %s"
"Invalid Table Rate code type: %s","Tipe Kode Tabel Tidak Valid: %s"
"Invalid Table Rates File Format","Format File Tabel Tidak Valid"
"Invalid Table Rates format in the Row #%s","Format Nilai Tabel Tidak Valid di Baris #%s"
"Local Time","Waktu Lokal"
"Location","Lokasi"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qty Maksimal yang Diizinkan untuk Pengiriman ke Beberapa Alamat"
"Method Name","Nama Metode"
"Minimum Order Amount","Jumlah Minimal Pemesanan"
"N/A","N/A"
"None","Tidak ada"
"Options","Opsi"
"Order Subtotal (and above)","Subtotal Pesanan (dan di atas)"
"Origin","Asal"
"Per Order","Per Pesanan"
"Per Package","Per Paket"
"Percent","Persen"
"Price","Harga"
"Price vs. Destination","Harga vs. Tujuan"
"Region/State","Wilayah/Negara"
"Service Type:","Tipe Layanan:"
"Ship to Applicable Countries","Kirim ke Negara yang Berlaku"
"Ship to Specific Countries","Kirim ke Negara Tertentu"
"Shipment #","Pengiriman #"
"Shipment Tracking Popup","Popup Pelacakan Pengiriman"
"Shipped or billed on:","Dikirim atau ditagih pada:"
"Shipping Methods","Metode Pengiriman"
"Shipping Methods Section","Bagian Metode Pengiriman"
"Shipping Settings","Pengaturan Pengiriman"
"Shipping Settings Section","Bagian Pengaturan Pengiriman"
"Show Method if Not Applicable","Tampilkan Metode jika Tidak Berlaku"
"Signed by:","Tertanda oleh:"
"Sort Order","Urutkan Pesanan"
"Status:","Status:"
"Store Pickup","Pickup Toko"
"Street Address","Alamat Jalan"
"Street Address Line 2","Alamat Jalan Garis 2"
"Table Rates","Nilai Tabel"
"The shipping module is not available for selected delivery country.","Modul pengiriman tidak tersedia untuk negara pengiriman yang dipilih."
"The shipping module is not available.","Modul pengiriman tidak tersedia."
"There is no tracking available for this shipment.","Tidak ada pelacakan yang tersedia untuk pengiriman ini."
"There is no tracking available.","Tidak ada pelacakan yang tersedia."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Metode pengiriman ini saat ini tidak tersedia. Jika Anda ingin mengirimkannya menggunakan metode pengiriman ini, hubungi kami."
"This shipping method is not available, please specify ZIP-code","Metode pengiriman ini tidak tersedia, silahkan tentukan kode pos"
"Title","Judul"
"Track:","Lacak:"
"Tracking Information","Informasi Pelacakan"
"Tracking Number:","Nomer Pelacakan:"
"Tracking information is currently not available. Please ","Informasi pelacakan saat ini tidak tersedia. harap "
"Tracking information is currently unavailable.","Informasi pelacakan saat ini tidak tersedia."
"Type","Tipe"
"Use origin weight (few requests)","Gunakan berat asal (beberapa permintaan)"
"Weight (and above)","Berat (dan di atas)"
"Weight vs. Destination","Berat vs. Tujuan"
"Weight:","Berat:"
"ZIP/Postal Code","Kode Pos"
"contact us","kontak kami"
"email us at ","email kami pada "
