" was not delivered nor scanned"," Tidak dikirim atau dipindai"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Pesanan"" Memungkinkan biaya penanganan tunggal untuk seluruh pesanan. ""Per Paket"" Memungkinkan biaya penanganan individu untuk setiap paket."
"1 Day Freight","1 Hari Pengiriman"
"2 Day","2 Hari"
"2 Day AM","2 Hari AM"
"2 Day Freight","2 Hari Pengiriman"
"2nd Day Air","Hari Ke 2 Air"
"2nd Day Air AM","Hari Ke 2 Air AM"
"2nd Day Air AM Letter","Hari ke 2 Air AM Letter"
"2nd Day Air Letter","Hari Ke 2 Air Letter"
"3 Day Freight","3 Hari Pengiriman"
"3 Day Select","3 Hari Pemilian"
"Access ID","ID Akses"
"Access License Number","Akses Nomer Lisensi"
"Account ID","ID Akun"
"Account Number","Nomer Akun"
"Additional Protection Configuration Value","Nilai Konfigurasi Perlindungan Tambahan"
"Additional Protection Enabled","Perlindungan Tambahan Dinyalakan"
"Additional Protection Min Subtotal","Perlindungan Tambahan Minimum Subtotal"
"Additional Protection Value","Nilai Perlindungan Tambahan"
"Additional Protection Value Rounding Method","Metode Pembulatan Nilai Perlindungan Tambahan"
"Adult","Dewasa"
"Adult Signature Required","Tanda tangan Dewasa diperlukan"
"Allowed Methods","Metode yang Diizinkan"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Memungkinkan pemecahan berat total pesanan menjadi potongan yang lebih kecil jika melebihi %s %s untuk memastikan perhitungan biaya pengiriman yang akurat."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Memungkinkan pemecahan berat total pesanan menjadi potongan yang lebih kecil jika melebihi 70 kg untuk memastikan perhitungan biaya pengiriman yang akurat."
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Pusat Layanan Bisnis"
"Calculate Handling Fee","Hitung Biaya Penanganan"
"Canada Standard","Standar Kanada"
"Cannot identify measure unit for %s","Tidak dapat mengidentifikasi unit pengukuran untuk %s"
"Cannot identify weight unit for %s","Tidak dapat mengidentifikasi berat unit untuk %s"
"Cannot retrieve shipping rates","Tidak dapat mengambil tarif pengiriman"
"Centimeters","Sentimeter"
"Commercial","Komersial"
"Configuration","Konfigurasi"
"Container","Wadah"
"Content Type","Tipe Konten"
"Customer Packaging","Paket Pelanggan"
"Customer Supplied Package","Paket Pasokan Pelanggan"
"Customer services","Layanan Pelanggan"
"DHL","DHL"
"DHL (Deprecated)","DHL (Tidak berlaku lagi)"
"DHL service is not available at %s date","Layanan DHL tidak tersedia pada %s tanggal"
"Debug","Debug"
"Default Package Height","Tinggi Standar Paket"
"Default Package Length","Panjang Standar Paket"
"Default Package Width","Lebar Standar Paket"
"Delivered","Dikirimkan"
"Delivery Confirmation","Konfirmasi Pengiriman"
"Depth","Kedalaman"
"Destination Type","Tipe Tujuan"
"Destination facility code is empty","Kode fasilitas tujuan kosong"
"Development","Pengembangan"
"Direct","Langsung"
"Displayed Error Message","Pesan Kesalahan Ditampilkan"
"Divide Order Weight","Pisahkan Pesanan berdasar Berat"
"Documents","Dokumen"
"Domestic Shipment Days","Hari Pengiriman Domestik"
"Domestic economy select","Pilih ekonomi domestik"
"Domestic express","ekspres domestik"
"Drop Box","Drop Box"
"Dropoff","Tujuan Antar"
"Easy shop","Mudah Berbelanja"
"Economy select","Pilih ekonomi"
"Empty response","Respon kosong"
"Enable Negotiated Rates","Nyalakan Tarif Negosiasi"
"Enabled for Checkout","Dinyalakan untuk Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Nyalakan/Matikan Verifikasi SSL dari server Magento oleh UPS."
"Error #%s : %s","Kesalahan #%s : %s"
"Error #%s : %s (%s)","Kesalahan #%s : %s (%s)"
"Error #%s: %s","Kesalahan #%s: %s"
"Europack","Europack"
"Europe First Priority","Prioritas Pertama Eropa"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Kurs %s (Mata uang Dasar) -> %s tidak ditemukan. metode DHL %s dilewati"
"Express","Ekspres"
"Express 10:30","Ekspres 10:30"
"Express 10:30 AM","Ekspres 10:30 AM"
"Express 12:00","Ekspres 12:00"
"Express 9:00","Ekspres 9:00"
"Express Saturday","Sabtu Ekspres"
"Express Saver","Penyimpan Ekspres"
"Express easy","Kemudahan ekspres"
"Express envelope","Amplop ekspres"
"Express worldwide","Ekspres ke worldwide"
"Failed to parse xml document: %s","Gagal mengurai dokumen xml: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Amplop"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class Mail International Large Envelope","First-Class Mail Amplop Besar Internasional"
"First-Class Mail International Letter","First-Class Mail Surat Internasional"
"First-Class Mail International Postcard","First-Class Mail Kartu pos Internasional"
"First-Class Mail Large Envelope","First-Class Mail Amplop Besar"
"First-Class Mail Large Postcards","First-Class Mail Kartu pos Besar"
"First-Class Mail Letter","First-Class Mail Surat"
"First-Class Mail Parcel","First-Class Mail Paket"
"First-Class Mail Postcards","First-Class Mail Kartu pos"
"First-Class Package International Service","First-Class Paket Layanan Internasional"
"First-Class Package Service","First-Class Paket Layanan"
"First-Class Package Service Hold For Pickup","First-Class Paket Layanan Untuk Pickup"
"Flat","Datar"
"Flat-Rate Box","Tarif Datar Box"
"Flat-Rate Envelope","Tarif Datar Amplop"
"Free Method","Metode Gratis"
"Free Shipping with Minimum Order Amount","Pengiriman Gratis dengan Jumlah Pemesanan Minimum"
"Freight","Kargo"
"Freight worldwide","Pengiriman di worldwide"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Hadiah"
"Girth","Girth"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Dokumen Global Express Guaranteed"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Dokumen Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Dokumen Rectangular"
"Globalmail business","Globalmail bisnis"
"Ground","Lapangan"
"Ground Commercial","Iklan Lapangan"
"Ground Residential","Lapangan Perumahan"
"Handling Applied","Penanganan Diterapkan"
"Handling Fee","Harga Penanganan"
"Height","Tinggi"
"Height, width and length should be equal or greater than %s","Tinggi, lebar dan panjang haruslah sama atau lebih besar dari %s"
"Home Delivery","Pengiriman Rumah"
"Hub ID","Hub ID"
"Inches","Inci"
"Indirect","Tidak langsung"
"International Economy","Ekonomi Internasional"
"International Express","Ekspres Internasional"
"International First","Internasional Pertama"
"International Ground","Lapangan Internasional"
"International Priority","Prioritas Internasional"
"International Shipment Days","Hari Pengiriman Internasional"
"Intl Economy Freight","Intl Ekonomi Pengangkutan"
"Intl Priority Freight","Intl Prioritas Pengangkutan"
"Jetline","Jetline"
"Jumbo box","Jumbo box"
"Key","Kunci"
"Kilograms","Kilogram"
"Large","Besar"
"Large Express Box","Box Ekspres Besar"
"Length","Panjang"
"Letter","Surat"
"Library Mail","Mail Pustaka"
"Live","Langsung"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Berat Maks Paket (Silahkan berkonsultasi dengan operator pengiriman Anda untuk berat pengiriman maksimum yang didukung)"
"Media Mail","Media Mail"
"Medical express","Medical ekspres"
"Medium Express Box","Box Ekspres Medium"
"Merchandise","Cinderamata"
"Meter Number","Nomer Meter"
