"%s","%s"
"-- Please Select --","-- Silahkan Pilih --"
"Actions","Tindakan"
"Add Layout Update","Tambahkan Pembaruan Tampilan"
"Add New Widget Instance","Tambahkan Contoh Widget Baru"
"All","Seluruh"
"All Pages","Seluruh Halaman"
"All Product Types","Seluruh Tipe Produk"
"An error occurred during saving a widget: %s","Terjadi kesalahan saat menyimpan widget: %s"
"Anchor Categories","Kategori Anchor"
"Apply","Terapkan"
"Assign to Store Views","Tetapkan ke Tampilan Store"
"Big Image","Gambar Besar"
"Block Reference","Blok Referensi"
"CMS","CMS"
"Categories","Kategori"
"Choose...","Pilih..."
"Close","Tutup"
"Continue","Lanjutkan"
"Default Template","Template Standar"
"Delete","Hapus"
"Design Package/Theme","Paket Desain / Tema"
"Export to:","Export ke:"
"Frontend Properties","Properti Frontend"
"Generic Pages","Halaman Generik"
"Images","Gambar"
"Insert Widget","Masukan Widget"
"Insert Widget...","Masukan Widget..."
"Layout Updates","Pembaruan Tampilan"
"Manage Widget Instances","Kelola Contoh Widget"
"New Instance","Contoh Baru"
"New Widget Instance","Contoh Widget Baru"
"Next page","Halaman berikut"
"Non-Anchor Categories","Kategori Non-Anchor"
"Not Selected","Tidak Terpilih"
"Open Chooser","Buka Pemilih"
"Page","Halaman"
"Please Select Block Reference First","Pertama-tama Silahkan Pilih Refrensi Blok"
"Previous page","Halaman sebelumnya"
"Products","Produk"
"Remove Layout Update","Hapus Pembaruan Tampilan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Select All","Pilih Semua"
"Select Visible","Pilih Terlihat"
"Settings","Pengaturan"
"Sort Order","Urutkan"
"Sort Order of widget instances in the same block reference","Urutkan contoh widget di referensi blok yang sama"
"Specific %s","Tertentu %s"
"Specified Page","Halaman Ditentukan"
"Template","Template"
"The information in this tab has been changed.","Informasi dalam tab ini telah diubah."
"The widget instance has been deleted.","Contoh widget telah dihapus."
"The widget instance has been saved.","Contoh widget telah disimpan."
"This tab contains invalid data. Please solve the problem before saving.","tab mengandung data tidak valid. Tolong selesaikan masalah ini sebelum menyimpan."
"Thumbnail","Thumbnail"
"Total %d records found","Total %d arsip ditemukan"
"Type","Tipe"
"Unselect All","Batalkan Semua Pilihan"
"Unselect Visible","Batalkan Pilihan Terlihat"
"View","Tinjau"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID Widget"
"Widget Insertion","Penyisipan Widget"
"Widget Instance","Contoh Widget"
"Widget Instance Title","Contoh Judul widget"
"Widget Options","Opsi Widget"
"Widget Type","Tipe Widget"
"Widget Type is not specified","Tipe Widget tidak ditentukan"
"Widget instance is not full complete to create.","Contoh Widget tidak lengkap untuk dibuat."
"Widgets","Widgets"
"Wrong widget instance specified.","Contoh widget yang salah ditentukan."
"items selected","Item terpilih"
"of %s pages","dari %s halaman"
"per page","per halaman"
