"%1$s has been updated in your wishlist.","%1$s telah diperbarui dalam daftar keinginan Anda."
"%d product(s) have been added to shopping cart: %s.","%d produk(beberapa) telah ditambahkan ke troli: %s."
"%s for ""%s"".","%s untuk ""%s""."
"%s has been moved to wishlist %s","%s telah dipindahkan ke daftar keinginan %s"
"%s's Wishlist","%s's daftar keinginan'"
"* Required Fields","* Field Wajib"
"Add All to Cart","Tambahkan Semua ke Troli"
"Add to Cart","Tambahkan ke Troli"
"Add to Compare","Tambahkan ke Pembanding"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Added From","Ditambahkan Dari"
"An error occurred while adding item to wishlist.","Terjadi kesalahan saat menambahkan item ke daftar keinginan."
"An error occurred while adding item to wishlist: %s","Terjadi kesalahan saat menambahkan item ke daftar keinginan: %s"
"An error occurred while deleting the item from wishlist.","Terjadi kesalahan saat menghapus item ke daftar keinginan."
"An error occurred while deleting the item from wishlist: %s","Terjadi kesalahan saat menghapus item ke daftar keinginan: %s"
"An error occurred while updating wishlist.","Terjadi kesalahan saat memperbarui daftar keinginan."
"Are you sure you want to remove this product from your wishlist?","Yakin ingin menghapus produk ini dari daftar keinginan Anda?"
"Are you sure you would like to remove this item from the wishlist?","Yakin ingin menghapus item ini dari daftar keinginan?"
"Back","Kembali"
"Can\'t delete item from wishlist","Tidak dapat menghapus item dari daftar keinginan"
"Can\'t save description %s","Tidak bisa menyimpan deskripsi %s"
"Can\'t update wishlist","Tidak dapat memperbarui daftar harapan"
"Cannot add item to shopping cart","Tidak dapat menambahkan item ke troli"
"Cannot add the item to shopping cart.","Tidak dapat menambahkan item ke troli."
"Cannot configure product","Tidak dapat mengkonfigurasi produk"
"Cannot load wishlist item","Tidak dapat memuat item daftar keinginan"
"Cannot move item to wishlist","Tidak dapat memindahkan item ke daftar keinginan"
"Cannot specify product.","Tidak dapat menentukan produk."
"Cannot specify wishlist item.","Tidak dapat menentukan item daftar keinginan."
"Cannot specify wishlist.","Tidak dapat menentukan daftar keinginan."
"Cannot update wishlist","Tidak dapat memperbarui daftar keinginan"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Centang kotak ini jika Anda ingin menambahkan link menuju rss feed ke daftar keinginan Anda."
"Click for price","Klik untuk harga"
"Comment","Komentar"
"Comment:","Komentar:"
"Configure Wishlist Item","Konfigurasikan Item Daftar keinginan"
"Configured Price:","Harga terkonfigurasi:"
